train/reward,time/fps,time/iterations,time/total_timesteps,time/time_elapsed,train/n_updates,train/clip_fraction,train/policy_gradient_loss,train/value_loss,train/std,train/learning_rate,train/entropy_loss,train/clip_range,train/approx_kl,train/explained_variance,train/loss
-0.18613607,123,11,22528,182,100,0.2505859375,-0.016518551504123024,10.62934707403183,1.0123121738433838,0.00025,-41.46726615428925,0.2,0.02330503,-0.012149930000305176,5.745733261108398
-1.6895158,122,12,24576,200,110,0.21552734375,-0.01340175925870426,45.91643464565277,1.013908863067627,0.00025,-41.52247018814087,0.2,0.01954326,0.016626417636871338,27.602975845336914
-1.8897125,122,13,26624,217,120,0.15078125,-0.016289286795654334,53.22493488788605,1.0142358541488647,0.00025,-41.55343112945557,0.2,0.0155826565,0.003145158290863037,43.906837463378906
0.65458465,122,14,28672,234,130,0.2826171875,-0.024391433264827355,9.731518140435218,1.0196688175201416,0.00025,-41.63224663734436,0.2,0.023357421,0.042024433612823486,3.8522579669952393
1.3031932,122,15,30720,251,140,0.300439453125,-0.010752599249826744,58.67395120859146,1.0214154720306396,0.00025,-41.73499536514282,0.2,0.036218423,0.017563045024871826,22.24997329711914
0.24327794,122,16,32768,267,150,0.262890625,-0.01307511086924933,48.33161388635635,1.0214084386825562,0.00025,-41.7610178232193,0.2,0.023123315,-0.01989912986755371,17.889999389648438
1.2338635,122,17,34816,284,160,0.292822265625,-0.01837706538499333,9.042927777767181,1.0232670307159424,0.00025,-41.78169689178467,0.2,0.030057652,0.029274046421051025,2.792696475982666
0.9475569,122,18,36864,300,170,0.27294921875,-0.013553498371038586,46.898528695106506,1.0245308876037598,0.00025,-41.82742130756378,0.2,0.02410103,0.02361917495727539,27.41642189025879
-0.44039735,122,19,38912,317,180,0.162548828125,-0.01751360350754112,43.7466582775116,1.025307297706604,0.00025,-41.85386328697204,0.2,0.015792323,-0.005051851272583008,18.499774932861328
-2.006511,122,20,40960,334,190,0.35751953125,-0.01925525876577012,12.183802807331086,1.026408076286316,0.00025,-41.889299750328064,0.2,0.036507986,-0.03315877914428711,7.558802127838135
0.20672014,122,21,43008,350,200,0.269091796875,-0.012619919097051024,56.342933011054996,1.0280332565307617,0.00025,-41.91724421977997,0.2,0.031051487,0.0011916160583496094,49.97240447998047
4.402311,122,22,45056,367,210,0.210498046875,-0.015489743364742025,48.1503093957901,1.0302214622497559,0.00025,-41.97294044494629,0.2,0.020937918,0.0031491518020629883,15.795814514160156
-0.20956998,122,23,47104,385,220,0.30283203125,-0.019128397019812837,12.740359032154084,1.0335999727249146,0.00025,-42.05427494049072,0.2,0.027568515,0.05720919370651245,4.984107971191406
-4.273715,122,24,49152,402,230,0.21474609375,-0.009953754558227956,75.44638793468475,1.0339850187301636,0.00025,-42.105182361602786,0.2,0.019895673,0.008666276931762695,60.5470085144043
-1.9388028,122,25,51200,419,240,0.260107421875,-0.014189818844897673,57.915875458717345,1.0363411903381348,0.00025,-42.14430749416351,0.2,0.025178898,0.002291083335876465,35.04803466796875
1.3704784,122,26,53248,435,250,0.2931640625,-0.029093728528823703,14.083435305953026,1.0381797552108765,0.00025,-42.194135904312134,0.2,0.03279192,0.003676116466522217,4.672139644622803
2.628259,122,27,55296,452,260,0.258447265625,-0.014715745468856766,58.33766621351242,1.0405970811843872,0.00025,-42.2552410364151,0.2,0.02453738,0.01463782787322998,23.484189987182617
-7.2410064,122,28,57344,469,270,0.310400390625,-0.005653071030974388,61.98224537372589,1.0421745777130127,0.00025,-42.3159921169281,0.2,0.03208012,0.003350555896759033,22.160966873168945
-0.5812586,122,29,59392,485,280,0.25244140625,-0.018590591195970774,15.544544768333434,1.0432196855545044,0.00025,-42.35078139305115,0.2,0.026391897,0.057652831077575684,5.13399076461792
0.9580364,122,30,61440,502,290,0.192431640625,-0.014541907416423782,65.66454615592957,1.0445688962936401,0.00025,-42.38029150962829,0.2,0.018792104,0.009091377258300781,23.547815322875977
-8.554057,122,31,63488,520,300,0.15712890625,-0.014317631485755555,65.69006576538087,1.045607566833496,0.00025,-42.41354937553406,0.2,0.017297905,-0.0037736892700195312,39.459285736083984
0.06905004,122,32,65536,536,310,0.2126953125,-0.012115311861271039,18.18385410308838,1.0472685098648071,0.00025,-42.44587013721466,0.2,0.021222122,0.07668137550354004,9.766658782958984
0.4751971,122,33,67584,553,320,0.3072265625,-0.01605750743765384,63.06874542236328,1.050531268119812,0.00025,-42.508636236190796,0.2,0.031520974,0.05008739233016968,32.609901428222656
-0.6109252,122,34,69632,570,330,0.2759765625,-0.007919146792846731,53.30435924530029,1.0516554117202759,0.00025,-42.5797622680664,0.2,0.024187665,0.038692355155944824,26.899227142333984
